XAUUSD M30 | 1999 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
02-11 05:30|5025.93|5028.27|5020.36|5025.21
02-11 07:00|5027.37|5054.70|5027.37|5046.59
02-11 07:30|5046.58|5047.98|5038.63|5041.89
02-11 08:00|5042.12|5044.61|5028.06|5040.24
02-11 08:30|5040.24|5049.61|5034.61|5037.69
02-11 09:00|5038.12|5047.51|5030.77|5037.65
02-11 09:30|5037.64|5053.01|5032.57|5052.64
02-11 10:00|5052.63|5056.69|5032.48|5041.96
02-11 10:30|5041.40|5057.88|5041.03|5055.77
02-11 11:00|5055.16|5059.12|5044.90|5057.02
02-11 11:30|5056.85|5060.75|5053.19|5054.66
02-11 12:00|5054.55|5059.78|5053.05|5058.50
02-11 12:30|5058.49|5059.38|5045.75|5046.58
02-11 13:00|5046.45|5053.54|5043.53|5052.97
02-11 13:30|5053.52|5063.97|5046.25|5052.71
02-11 14:00|5052.78|5061.61|5049.32|5056.67
02-11 14:30|5056.68|5064.56|5051.97|5064.18
02-11 15:00|5064.18|5069.15|5052.64|5060.10
02-11 15:30|5060.04|5061.86|5049.06|5055.69
02-11 16:00|5055.10|5060.45|5050.56|5051.59
02-11 16:30|5051.84|5055.05|5045.58|5053.80
02-11 17:00|5053.81|5055.93|5047.22|5054.66
02-11 17:30|5054.66|5071.94|5053.65|5062.81
02-11 18:00|5062.81|5076.34|5062.60|5071.07
02-11 18:30|5071.08|5101.35|5068.37|5093.25
02-11 19:00|5093.18|5107.87|5082.57|5107.27
02-11 19:30|5107.29|5116.94|5100.86|5111.77
02-11 20:00|5111.81|5118.92|5087.15|5094.84
02-11 20:30|5095.03|5098.98|5050.28|5083.59
02-11 21:00|5083.62|5089.98|5063.83|5083.69
02-11 21:30|5083.68|5084.03|5017.79|5065.99
02-11 22:00|5065.98|5082.74|5061.82|5071.18
02-11 22:30|5071.16|5075.40|5035.79|5059.61
02-11 23:00|5059.07|5081.81|5043.81|5049.23
02-11 23:30|5049.24|5063.22|5039.16|5060.41
02-12 00:00|5059.90|5064.43|5042.93|5061.08
02-12 00:30|5061.09|5078.20|5056.32|5075.37
02-12 01:00|5075.13|5091.29|5068.68|5087.45
02-12 01:30|5087.40|5098.87|5081.37|5091.76
02-12 02:00|5091.60|5093.04|5067.10|5073.62
02-12 02:30|5073.71|5087.37|5071.47|5082.35
02-12 03:00|5082.28|5094.36|5082.23|5091.79
02-12 03:30|5091.78|5091.95|5077.13|5082.18
02-12 04:00|5082.15|5089.17|5079.70|5084.88
02-12 04:30|5084.89|5089.99|5078.28|5086.85
02-12 05:00|5086.70|5092.81|5078.95|5082.00
02-12 05:30|5082.26|5084.89|5069.78|5084.42
02-12 07:00|5096.67|5099.96|5052.50|5069.06
02-12 07:30|5068.81|5070.92|5059.97|5061.06
02-12 08:00|5060.90|5067.69|5049.91|5060.31
02-12 08:30|5060.38|5065.90|5055.82|5063.07
02-12 09:00|5062.46|5062.69|5045.05|5058.84
02-12 09:30|5058.60|5064.15|5052.91|5063.14
02-12 10:00|5063.80|5072.54|5062.40|5066.72
02-12 10:30|5066.85|5069.70|5055.17|5065.83
02-12 11:00|5065.86|5074.51|5054.95|5060.13
02-12 11:30|5059.89|5066.78|5055.08|5057.11
02-12 12:00|5057.13|5059.09|5050.82|5056.45
02-12 12:30|5056.46|5069.94|5054.24|5069.24
02-12 13:00|5069.22|5078.37|5065.51|5072.00
02-12 13:30|5071.98|5076.01|5064.52|5075.70
02-12 14:00|5075.86|5076.45|5055.56|5055.59
02-12 14:30|5055.63|5061.57|5047.22|5059.76
02-12 15:00|5059.74|5066.29|5051.72|5062.51
02-12 15:30|5062.55|5065.70|5056.67|5063.84
02-12 16:00|5063.78|5073.57|5060.99|5060.99
02-12 16:30|5060.69|5072.01|5052.51|5068.47
02-12 17:00|5068.35|5077.85|5066.22|5071.27
02-12 17:30|5071.26|5080.76|5068.72|5073.14
02-12 18:00|5073.26|5077.05|5061.05|5061.44
02-12 18:30|5061.44|5066.15|5055.96|5061.99
02-12 19:00|5062.12|5065.70|5059.38|5062.58
02-12 19:30|5062.54|5068.48|5061.46|5063.80
02-12 20:00|5064.19|5066.83|5056.53|5062.34
02-12 20:30|5062.32|5068.73|5048.95|5052.89
02-12 21:00|5052.70|5074.22|5051.64|5062.33
02-12 21:30|5062.75|5083.81|5061.02|5075.58
02-12 22:00|5075.53|5077.87|5054.79|5060.33
02-12 22:30|5060.20|5071.77|5039.30|5044.35
02-12 23:00|5044.30|5070.13|5040.09|5066.26
02-12 23:30|5065.86|5074.81|5060.14|5060.68
02-13 00:00|5060.52|5068.39|4878.61|4897.32
02-13 00:30|4896.35|4969.22|4894.30|4954.47
02-13 01:00|4954.48|4982.57|4939.28|4965.75
02-13 01:30|4965.31|4974.90|4939.41|4940.94
02-13 02:00|4940.81|4949.71|4906.37|4928.60
02-13 02:30|4928.52|4952.26|4926.03|4935.72
02-13 03:00|4935.74|4944.11|4928.63|4931.55
02-13 03:30|4931.29|4958.14|4931.29|4945.58
02-13 04:00|4945.41|4948.44|4921.69|4922.88
02-13 04:30|4922.74|4927.99|4911.00|4915.14
02-13 05:00|4915.24|4924.55|4911.87|4920.35
02-13 05:30|4920.18|4926.44|4915.62|4921.80
02-13 07:00|4889.84|4928.65|4887.12|4920.03
02-13 07:30|4920.11|4925.98|4905.78|4920.30
02-13 08:00|4920.29|4948.45|4913.53|4936.32
02-13 08:30|4937.04|4945.62|4926.75|4927.92
02-13 09:00|4928.44|4978.97|4927.30|4969.78
02-13 09:30|4969.68|4988.62|4964.62|4980.86
02-13 10:00|4980.79|4986.24|4972.82|4985.85
02-13 10:30|4985.87|4991.34|4972.10|4988.16
02-13 11:00|4988.17|4989.33|4973.89|4977.87
02-13 11:30|4977.98|4984.56|4974.87|4981.50
02-13 12:00|4981.22|4997.14|4975.68|4985.16
02-13 12:30|4985.33|4986.43|4972.80|4976.52
02-13 13:00|4976.52|4986.43|4965.71|4979.51
02-13 13:30|4979.47|4980.26|4945.03|4946.25
02-13 14:00|4946.50|4961.82|4946.02|4953.33
02-13 14:30|4951.63|4968.81|4950.86|4967.44
02-13 15:00|4967.43|4976.38|4951.18|4968.65
02-13 15:30|4968.62|4982.79|4966.20|4974.78
02-13 16:00|4974.94|4989.56|4972.35|4982.48
02-13 16:30|4982.46|4986.82|4971.53|4982.53
02-13 17:00|4982.52|4982.74|4964.28|4964.57
02-13 17:30|4964.71|4976.96|4961.61|4970.42
02-13 18:00|4970.06|4980.70|4966.19|4977.50
02-13 18:30|4978.37|4978.74|4947.37|4950.18
02-13 19:00|4950.28|4953.50|4934.04|4945.10
02-13 19:30|4944.88|4954.94|4935.36|4953.84
02-13 20:00|4953.32|4973.19|4952.25|4967.46
02-13 20:30|4967.44|4973.94|4963.74|4969.58
02-13 21:00|4969.34|4976.37|4957.78|4967.37
02-13 21:30|4967.02|4999.62|4967.02|4987.20
02-13 22:00|4987.24|5007.86|4985.02|5002.58
02-13 22:30|5003.00|5010.91|4965.32|4995.69
02-13 23:00|4996.93|5011.46|4992.55|5010.02
02-13 23:30|5009.98|5020.55|4973.92|4976.66
02-14 00:00|4976.71|5033.49|4975.63|5027.70
02-14 00:30|5027.92|5028.37|5005.86|5007.93
02-14 01:00|5007.96|5022.28|5006.09|5017.33
02-14 01:30|5017.54|5029.12|5016.04|5020.89
02-14 02:00|5020.90|5030.70|5015.38|5022.53
02-14 02:30|5021.73|5035.45|5020.32|5031.08
02-14 03:00|5031.10|5046.09|5030.69|5041.57
02-14 03:30|5041.66|5042.81|5024.28|5024.28
02-14 04:00|5023.47|5034.05|5023.47|5028.83
02-14 04:30|5029.09|5034.90|5021.46|5032.42
02-14 05:00|5032.39|5036.14|5029.58|5032.94
02-14 05:30|5032.93|5046.04|5031.26|5042.83
02-16 07:00|5035.13|5035.41|5007.89|5029.27
02-16 07:30|5028.42|5031.30|5013.48|5020.23
02-16 08:00|5020.25|5021.62|5000.26|5012.17
02-16 08:30|5012.24|5022.31|5008.86|5015.70
02-16 09:00|5015.66|5031.06|5007.11|5029.06
02-16 09:30|5029.08|5031.14|5025.57|5028.74
02-16 10:00|5028.76|5031.37|5018.77|5019.36
02-16 10:30|5019.40|5021.97|4992.15|4994.87
02-16 11:00|4994.62|5000.07|4988.49|4994.85
02-16 11:30|4994.31|4996.87|4976.82|4987.42
02-16 12:00|4987.39|4992.02|4973.15|4976.37
02-16 12:30|4976.36|4980.16|4973.67|4977.73
02-16 13:00|4977.67|4988.71|4965.21|4986.20
02-16 13:30|4986.21|4990.62|4983.24|4990.49
02-16 14:00|4990.44|4994.60|4985.20|4993.22
02-16 14:30|4993.21|5003.11|4990.41|4994.97
02-16 15:00|4994.98|4999.43|4988.75|4998.03
02-16 15:30|4997.97|5010.11|4997.03|5007.14
02-16 16:00|5007.17|5013.44|4995.68|5006.37
02-16 16:30|5006.47|5010.24|5003.43|5008.17
02-16 17:00|5007.93|5016.29|5007.93|5013.38
02-16 17:30|5013.33|5017.22|5008.45|5013.41
02-16 18:00|5013.43|5017.35|5004.76|5004.93
02-16 18:30|5004.83|5010.82|5000.38|5005.98
02-16 19:00|5006.01|5007.17|4998.93|5004.67
02-16 19:30|5004.43|5008.21|5001.96|5004.49
02-16 20:00|5004.51|5004.98|4992.98|4996.24
02-16 20:30|4996.37|5007.93|4995.17|5002.30
02-16 21:00|5002.12|5003.74|4993.08|4994.14
02-16 21:30|4994.30|4998.75|4989.80|4997.15
02-16 22:00|4997.12|4999.61|4990.07|4992.17
02-16 22:30|4992.16|4994.46|4981.66|4988.20
02-16 23:00|4988.44|4988.44|4968.93|4980.43
02-16 23:30|4980.42|4983.32|4974.93|4979.59
02-17 00:00|4979.61|4987.65|4973.04|4986.38
02-17 00:30|4986.66|4990.48|4985.11|4988.23
02-17 01:00|4987.98|4995.42|4987.98|4994.56
02-17 01:30|4994.42|4996.12|4990.18|4991.53
02-17 02:00|4991.69|4997.46|4988.88|4994.19
02-17 02:30|4994.19|4997.64|4991.44|4994.51
02-17 03:00|4994.70|4996.46|4990.46|4993.63
02-17 07:00|4991.65|5000.87|4985.28|4994.38
02-17 07:30|4994.41|4995.93|4987.64|4989.86
02-17 08:00|4989.61|4991.43|4971.02|4973.33
02-17 08:30|4973.46|4978.75|4932.23|4935.81
02-17 09:00|4935.88|4958.17|4923.08|4956.68
02-17 09:30|4957.03|4964.04|4955.03|4957.74
02-17 10:00|4956.72|4971.05|4954.34|4965.55
02-17 10:30|4965.56|4967.32|4959.30|4966.98
02-17 11:00|4967.08|4970.18|4953.67|4955.19
02-17 11:30|4955.27|4960.34|4949.89|4956.94
02-17 12:00|4956.58|4960.29|4946.56|4959.76
02-17 12:30|4959.52|4960.29|4949.24|4952.66
02-17 13:00|4952.65|4954.30|4888.52|4900.49
02-17 13:30|4900.64|4902.49|4858.61|4888.74
02-17 14:00|4888.71|4901.50|4886.50|4894.63
02-17 14:30|4894.57|4914.29|4891.91|4910.48
02-17 15:00|4909.31|4916.70|4903.83|4908.14
02-17 15:30|4908.12|4922.11|4903.94|4916.96
02-17 16:00|4916.96|4930.26|4916.58|4920.00
02-17 16:30|4919.99|4925.80|4916.49|4920.88
02-17 17:00|4920.87|4928.75|4918.17|4919.09
02-17 17:30|4919.10|4932.45|4913.18|4925.88
02-17 18:00|4925.43|4939.50|4923.78|4928.29
02-17 18:30|4928.27|4928.44|4907.47|4913.05
02-17 19:00|4913.06|4930.69|4913.06|4928.01
02-17 19:30|4927.78|4930.99|4921.40|4929.53
02-17 20:00|4929.48|4944.10|4928.30|4943.04
02-17 20:30|4943.04|4943.97|4929.05|4932.16
02-17 21:00|4931.99|4933.44|4910.92|4919.89
02-17 21:30|4920.04|4924.35|4869.89|4870.60
02-17 22:00|4870.52|4904.42|4841.90|4898.46
02-17 22:30|4897.16|4907.18|4855.93|4863.81
02-17 23:00|4862.86|4876.49|4849.24|4861.41
02-17 23:30|4861.03|4882.60|4852.75|4878.60
02-18 00:00|4878.73|4893.65|4876.66|4883.57
02-18 00:30|4883.62|4887.43|4868.70|4869.32
02-18 01:00|4868.81|4871.34|4850.35|4865.22
02-18 01:30|4864.87|4868.51|4854.17|4865.19
02-18 02:00|4865.20|4890.14|4862.40|4886.90
02-18 02:30|4886.86|4910.47|4879.93|4899.00
02-18 03:00|4899.08|4901.13|4881.90|4883.49
02-18 03:30|4883.42|4887.98|4876.63|4880.15
02-18 04:00|4880.24|4882.59|4873.29|4877.91
02-18 04:30|4876.26|4884.15|4873.77|4877.84
02-18 05:00|4877.78|4886.63|4875.03|4880.38
02-18 05:30|4880.39|4882.08|4876.52|4877.36
02-18 07:00|4869.58|4884.46|4860.06|4877.74
